session,site,habitat,octocoral,stony,relief_cm,species_order,family,binomial,species,size_bin,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,SVC_date,SVC_max_depth,SVC_area,SVC_abundance,SVC_density,pred_date,pred_depth,pred_area,pred_abundance,pred_density,SVC_pred_difference,total_density,log_difference,average_depth
141,BISC-P12a,Patch,70,5,42.166666666666664,Syngnathiformes,Aulostomidae,Aulostomus maculatus,trumpetfish,6,1,0,demersal,solitary,80,none,1,2014-09-16,15,78.53981634,1,0.01273239544731026,2014-09-16,20,1131,0,0,0.01273239544731026,0.01273239544731026,2.619757672683737,17.5
141,BISC-P12a,Patch,70,5,42.166666666666664,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-16,15,78.53981634,0,0,2014-09-16,20,1131,4,0.0035366931918656055,-0.0035366931918656055,0.0035366931918656055,-1.5121983748258438,17.5
141,BISC-P12a,Patch,70,5,42.166666666666664,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-16,15,78.53981634,0,0,2014-09-16,20,1131,1,8.841732979664014e-4,-8.841732979664014e-4,8.841732979664014e-4,-0.6334891559824962,17.5
141,BISC-P12a,Patch,70,5,42.166666666666664,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,2,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-16,15,78.53981634,0,0,2014-09-16,20,1131,1,8.841732979664014e-4,-8.841732979664014e-4,8.841732979664014e-4,-0.6334891559824962,17.5
141,BISC-P12a,Patch,70,5,42.166666666666664,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-16,15,78.53981634,0,0,2014-09-16,20,1131,1,8.841732979664014e-4,-8.841732979664014e-4,8.841732979664014e-4,-0.6334891559824962,17.5
142,BISC-P13a,Patch,80,5,49.07692307692308,Syngnathiformes,Aulostomidae,Aulostomus maculatus,trumpetfish,6,1,0,demersal,solitary,80,none,1,2014-09-16,20,153.93804,2,0.012992240254585546,2014-09-16,16,3276,0,0,0.012992240254585546,0.012992240254585546,2.638502908422624,18
142,BISC-P13a,Patch,80,5,49.07692307692308,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,1,1,0,demersal,solitary,152,none,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,3276,1,3.0525030525030525e-4,-3.0525030525030525e-4,3.0525030525030525e-4,-0.2663948271719754,18
142,BISC-P13a,Patch,80,5,49.07692307692308,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,1,1,demersal,solitary,250,none,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,3276,1,3.0525030525030525e-4,-3.0525030525030525e-4,3.0525030525030525e-4,-0.2663948271719754,18
142,BISC-P13a,Patch,80,5,49.07692307692308,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,5,1,0,demersal,solitary,50,cryptic,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,3276,1,3.0525030525030525e-4,-3.0525030525030525e-4,3.0525030525030525e-4,-0.2663948271719754,18
143,BISC-W30a,Continuous,40,2,36.38461538461539,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,30,153.93804,1,0.006496120127292773,2014-09-16,29,2000,3,0.0015,0.004996120127292773,0.007996120127292772,1.0980948384528721,29.5
143,BISC-W30a,Continuous,40,2,36.38461538461539,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,30,153.93804,0,0,2014-09-16,29,2000,2,0.001,-0.001,0.001,-0.6931471805599454,29.5
143,BISC-W30a,Continuous,40,2,36.38461538461539,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,30,153.93804,0,0,2014-09-16,29,2000,1,5e-4,-5e-4,5e-4,-0.4054651081081646,29.5
143,BISC-W30a,Continuous,40,2,36.38461538461539,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-16,30,153.93804,0,0,2014-09-16,29,2000,1,5e-4,-5e-4,5e-4,-0.4054651081081646,29.5
144,BISC-W40-b,Continuous,50,10,58.92307692307692,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,50,153.93804,1,0.006496120127292773,2014-09-16,49,2000,1,5e-4,0.005996120127292772,0.006996120127292773,1.6089204622188626,49.5
144,BISC-W40-b,Continuous,50,10,58.92307692307692,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,1,5e-4,-5e-4,5e-4,-0.4054651081081646,49.5
144,BISC-W40-b,Continuous,50,10,58.92307692307692,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,3,0.0015,-0.0015,0.0015,-0.9162907318741551,49.5
144,BISC-W40-b,Continuous,50,10,58.92307692307692,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,4,0.002,-0.002,0.002,-1.0986122886681091,49.5
144,BISC-W40-b,Continuous,50,10,58.92307692307692,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,2,0.001,-0.001,0.001,-0.6931471805599454,49.5
144,BISC-W40-b,Continuous,50,10,58.92307692307692,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,1,5e-4,-5e-4,5e-4,-0.4054651081081646,49.5
144,BISC-W40-b,Continuous,50,10,58.92307692307692,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,1,0,demersal,solitary,100,conspicuous,1,2014-09-16,50,153.93804,0,0,2014-09-16,49,2000,1,5e-4,-5e-4,5e-4,-0.4054651081081646,49.5
145,BISC-P11a,Patch,0,5,41.36,Perciformes,Lutjanidae,Lutjanus griseus,gray snapper,5,1,1,demersal,schooling,89,none,0,2014-09-17,12,78.53981634,2,0.02546479089462052,2014-09-17,17,2142,0,0,0.02546479089462052,0.02546479089462052,3.2758152040741457,14.5
145,BISC-P11a,Patch,0,5,41.36,Syngnathiformes,Aulostomidae,Aulostomus maculatus,trumpetfish,6,1,0,demersal,solitary,80,none,1,2014-09-17,12,78.53981634,2,0.02546479089462052,2014-09-17,17,2142,2,9.337068160597573e-4,0.024531084078560764,0.02639849771068028,2.6163764131263108,14.5
145,BISC-P11a,Patch,0,5,41.36,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,4,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-17,12,78.53981634,0,0,2014-09-17,17,2142,1,4.6685340802987864e-4,-4.6685340802987864e-4,4.6685340802987864e-4,-0.3831195678078725,14.5
145,BISC-P11a,Patch,0,5,41.36,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-17,12,78.53981634,0,0,2014-09-17,17,2142,2,9.337068160597573e-4,-9.337068160597573e-4,9.337068160597573e-4,-0.659438790947835,14.5
