session,species,size_bin,SVC_abundance,prey_abundance,pred_abundance
141,threespot damselfish,2,2,1,0
141,yellowtail snapper,2,1,8,0
141,redband parrotfish,1,1,6,0
141,stoplight parrotfish,1,1,2,0
141,white grunt,2,51.75,64,0
141,striped parrotfish,1,3.75,7,0
141,cocoa damselfish,2,1,0,0
141,blue tang,2,1,0,0
141,bluestriped grunt,3,1,0,0
141,juvenile hamlet,2,1,0,0
141,butter hamlet,3,1,0,0
141,trumpetfish,6,1,0,0
141,foureye butterflyfish,2,1,0,0
141,redband parrotfish,2,2,4,0
141,stoplight parrotfish,3,2,1,0
141,striped parrotfish,2,7.5,3,0
141,white grunt,4,16.25,4,0
141,striped parrotfish,4,2.75,0,0
141,yellowtail snapper,3,1,0,0
141,redband parrotfish,3,1,2,0
141,stoplight parrotfish,6,1,0,0
141,white grunt,5,1,2,0
141,striped parrotfish,5,1,0,0
141,beaugregory,1,0,2,0
141,blue angelfish,4,0,1,0
141,bluehead wrasse,1,0,1,0
141,bluestriped grunt,2,0,4,0
141,bluestriped grunt,5,0,2,0
141,bridled goby,1,0,1,0
141,butter hamlet,2,0,4,0
141,colon goby,1,0,1,0
141,dusky damselfish,2,0,1,0
141,goldspot goby,1,0,1,0
141,goldspot goby,2,0,2,0
141,gray angelfish,2,0,1,0
141,masked goby,1,0,10,0
141,queen angelfish,3,0,1,0
141,red grouper,5,0,1,0
141,roughhead blenny,1,0,1,0
141,sand diver,5,0,1,0
141,sharpnose puffer,2,0,1,0
141,slippery dick,3,0,2,0
141,spotted moray,6,0,2,4
141,stoplight parrotfish,2,0,3,0
141,striped parrotfish,3,0,1,0
141,white grunt,1,0,1,0
141,white grunt,3,0,21,0
141,black grouper,6,0,0,1
141,lionfish,2,0,0,1
141,red grouper,6,0,0,1
142,trumpetfish,6,2,0,0
142,bluehead wrasse,1,1,0,0
142,redband parrotfish,1,1,3,0
142,yellowtail snapper,3,11.25,12,0
142,bluehead wrasse,2,4.25,5,0
142,redband parrotfish,2,4,7,0
142,bicolor damselfish,2,1,1,0
142,threespot damselfish,2,1,3,0
142,white grunt,5,1,6,0
142,sergeant major,3,1,0,0
142,stoplight parrotfish,2,1,3,0
142,sharpnose puffer,1,1,1,0
142,bar jack,2,1,0,0
142,striped parrotfish,2,1,5,0
142,bluehead wrasse,3,1.75,0,0
142,yellowtail snapper,4,3.75,0,0
142,redband parrotfish,3,1,1,0
142,beaugregory,2,0,2,0
142,bicolor damselfish,1,0,3,0
142,black hamlet,2,0,1,0
142,bluestriped grunt,4,0,1,0
142,bridled goby,1,0,2,0
142,butter hamlet,2,0,1,0
142,goldspot goby,1,0,1,0
142,highhat,3,0,1,0
142,neon goby,1,0,1,0
142,roughhead blenny,1,0,2,0
142,schoolmaster snapper,4,0,1,0
142,slippery dick,2,0,1,0
142,stoplight parrotfish,1,0,2,0
142,stoplight parrotfish,3,0,1,0
142,white grunt,2,0,2,0
142,white grunt,3,0,9,0
142,white grunt,4,0,5,0
142,yellowhead wrasse,2,0,2,0
142,black grouper,1,0,0,1
142,green moray,6,0,0,1
142,spotted scorpionfish,5,0,0,1
143,clown wrasse,2,2,4,0
143,foureye butterflyfish,2,1,2,0
143,slender filefish,1,2,0,0
143,greenblotch parrotfish,1,3,2,0
143,bluehead wrasse,1,3.5,63,0
143,redband parrotfish,1,1,39,0
143,yellowhead wrasse,1,1,4,0
143,slippery dick,1,1.5,0,0
143,bicolor damselfish,1,7.5,57,0
143,redband parrotfish,2,3,11,0
143,yellowhead wrasse,2,5,21,0
143,smooth trunkfish,4,1,0,0
143,white grunt,4,1,0,0
143,ocean surgeonfish,2,1,0,0
143,graysby,4,1,2,3
143,sharpnose puffer,1,1,7,0
143,lantern bass,1,1,0,0
143,bluehead wrasse,2,9.5,74,0
143,redband parrotfish,3,11,1,0
143,slippery dick,2,4.5,4,0
143,bicolor damselfish,2,2.5,25,0
143,foureye butterflyfish,3,1,0,0
143,greenblotch parrotfish,2,1,0,0
143,bluehead wrasse,3,1,2,0
143,redband parrotfish,4,1,2,0
143,banded butterflyfish,3,0,2,0
143,bar jack,5,0,6,0
143,beaugregory,2,0,1,0
143,blue chromis,2,0,2,0
143,bridled goby,1,0,11,0
143,bridled goby,2,0,4,0
143,butter hamlet,2,0,1,0
143,clown wrasse,1,0,1,0
143,clown wrasse,3,0,2,0
143,colon goby,1,0,22,0
143,creole wrasse,2,0,6,0
143,doctorfish,5,0,1,0
143,goldspot goby,1,0,35,0
143,goldspot goby,2,0,3,0
143,graysby,3,0,1,2
143,graysby,5,0,2,1
143,harlequin bass,1,0,2,0
143,harlequin bass,2,0,3,0
143,highhat,3,0,1,0
143,longfin damselfish,2,0,5,0
143,longfin damselfish,3,0,1,0
143,masked goby,1,0,15,0
143,ocean surgeonfish,3,0,1,0
143,ocean surgeonfish,4,0,4,0
143,pallid goby,1,0,3,0
143,redband parrotfish,5,0,3,0
143,rock beauty,1,0,1,0
143,roughhead blenny,1,0,6,0
143,scrawled filefish,6,0,1,0
143,sergeant major,3,0,1,0
143,spanish hogfish,4,0,1,0
143,spotfin butterflyfish,3,0,2,0
143,stoplight parrotfish,1,0,2,0
143,stoplight parrotfish,2,0,1,0
143,stoplight parrotfish,5,0,2,0
143,striped parrotfish,1,0,3,0
143,trumpetfish,6,0,1,0
143,white grunt,3,0,1,0
143,white grunt,5,0,1,0
143,yellowhead wrasse,3,0,1,0
143,yellowtail damselfish,3,0,1,0
143,yellowtail snapper,4,0,2,0
143,spotted moray,6,0,0,1
144,yellowhead wrasse,1,1,1,0
144,ocean surgeonfish,3,2,0,0
144,spotted goatfish,5,2,0,0
144,scrawled filefish,5,1,0,0
144,blue tang,3,1,0,0
144,reef butterflyfish,2,3,0,0
144,bicolor damselfish,1,10,11,0
144,blue chromis,2,5,0,0
144,bluehead wrasse,1,1,5,0
144,princess parrotfish,3,1,1,0
144,striped parrotfish,1,1,2,0
144,masked goby,1,49,309,0
144,bluehead wrasse,2,5.75,68,0
144,princess parrotfish,4,0.25,0,0
144,striped parrotfish,2,7,0,0
144,harlequin bass,2,1,0,0
144,blue parrotfish,6,1,0,0
144,graysby,3,1,0,1
144,rock beauty,3,1,0,0
144,white grunt,5,1,0,0
144,cocoa damselfish,2,1,0,0
144,sharpnose puffer,1,1,6,0
144,yellowtail parrotfish,6,1,0,0
144,brown chromis,2,1,0,0
144,orangespotted filefish,6,1,0,0
144,redband parrotfish,4,1,0,0
144,foureye butterflyfish,2,1,0,0
144,spanish hogfish,3,1,0,0
144,stoplight parrotfish,6,1,0,0
144,greenblotch parrotfish,2,1,2,0
144,cero,6,1,0,0
144,clown wrasse,2,1,0,0
144,blue tang,5,2,0,0
144,bicolor damselfish,2,30,8,0
144,princess parrotfish,5,2.5,0,0
144,bluehead wrasse,3,2.25,2,0
144,princess parrotfish,6,1.25,0,0
144,yellowhead wrasse,2,1,1,0
144,scrawled filefish,6,1,1,0
144,reef butterflyfish,3,1,0,0
144,blue chromis,3,1,0,0
144,striped parrotfish,3,1,0,0
144,masked goby,2,1,0,0
144,beaugregory,2,0,1,0
144,bridled goby,1,0,11,0
