"","session","site","habitat","octocoral","stony","relief_cm","Order","family","binomial","species","size_bin","nocturnal","position","behavior","max_length","colouration","cryptic_behaviour","SVC_date","SVC_max_depth","SVC_area","SVC_abundance","SVC_density","prey_date","prey_depth","prey_area","prey_abundance","prey_density","pred_date","pred_depth","pred_area","pred_abundance","pred_density","SVC_prey_difference","SVC_pred_difference","prey_pred_difference"
"1",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Pomacentridae","Stegastes planifrons","threespot damselfish",2,0,"demersal","solitary",13,"none",0,"2014-09-16",15,78.53981634,2,0.0254647908946205,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,0.00463145756128719,0.0254647908946205,0.0208333333333333
"2",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Lutjanidae","Ocyurus chrysurus","yellowtail snapper",2,0,"demersal","schooling",86.3,"conspicuous",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,8,0.166666666666667,"2014-09-16",20,1131,0,0,-0.153934271219356,0.0127323954473103,0.166666666666667
"3",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Sparisoma aurofrenatum","redband parrotfish",1,0,"demersal","shoaling",28,"cryptic",1,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,6,0.125,"2014-09-16",20,1131,0,0,-0.11226760455269,0.0127323954473103,0.125
"4",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Sparisoma viride","stoplight parrotfish",1,0,"demersal","shoaling",50,"none",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,2,0.0416666666666667,"2014-09-16",20,1131,0,0,-0.0289342712193564,0.0127323954473103,0.0416666666666667
"5",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Haemulidae","Haemulon plumierii","white grunt",2,0,"demersal","schooling",59,"none",0,"2014-09-16",15,78.53981634,51.75,0.658901464398306,"2014-09-16",14.5,48,64,1.33333333333333,"2014-09-16",20,1131,0,0,-0.674431868935027,0.658901464398306,1.33333333333333
"6",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Scarus iseri","striped parrotfish",1,0,"demersal","shoaling",35,"conspicuous",0,"2014-09-16",15,78.53981634,3.75,0.0477464829274135,"2014-09-16",14.5,48,7,0.145833333333333,"2014-09-16",20,1131,0,0,-0.0980868504059199,0.0477464829274135,0.145833333333333
"7",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Pomacentridae","Stegastes xanthurus","cocoa damselfish",2,0,"demersal","solitary",12.5,"conspicuous",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"8",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Acanthuridae","Acanthurus coeruleus","blue tang",2,0,"demersal","solitary",36,"cryptic",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"9",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Haemulidae","Haemulon sciurus","bluestriped grunt",3,0,"demersal","schooling",46,"none",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"11",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Serranidae","Hypoplectrus unicolor","butter hamlet",3,0,"demersal","solitary",13,"conspicuous",1,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"12",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Syngnathiformes","Aulostomidae","Aulostomus maculatus","trumpetfish",6,0,"demersal","solitary",80,"none",1,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"13",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Chaetodontidae","Chaetodon capistratus","foureye butterflyfish",2,0,"demersal","solitary",7.5,"conspicuous",1,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"14",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Sparisoma aurofrenatum","redband parrotfish",2,0,"demersal","shoaling",28,"cryptic",1,"2014-09-16",15,78.53981634,2,0.0254647908946205,"2014-09-16",14.5,48,4,0.0833333333333333,"2014-09-16",20,1131,0,0,-0.0578685424387128,0.0254647908946205,0.0833333333333333
"15",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Sparisoma viride","stoplight parrotfish",3,0,"demersal","shoaling",50,"none",0,"2014-09-16",15,78.53981634,2,0.0254647908946205,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,0.00463145756128719,0.0254647908946205,0.0208333333333333
"16",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Scarus iseri","striped parrotfish",2,0,"demersal","shoaling",35,"conspicuous",0,"2014-09-16",15,78.53981634,7.5,0.0954929658548269,"2014-09-16",14.5,48,3,0.0625,"2014-09-16",20,1131,0,0,0.0329929658548269,0.0954929658548269,0.0625
"17",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Haemulidae","Haemulon plumierii","white grunt",4,0,"demersal","schooling",59,"none",0,"2014-09-16",15,78.53981634,16.25,0.206901426018792,"2014-09-16",14.5,48,4,0.0833333333333333,"2014-09-16",20,1131,0,0,0.123568092685458,0.206901426018792,0.0833333333333333
"18",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Scarus iseri","striped parrotfish",4,0,"demersal","shoaling",35,"conspicuous",0,"2014-09-16",15,78.53981634,2.75,0.0350140874801032,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0350140874801032,0.0350140874801032,0
"19",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Lutjanidae","Ocyurus chrysurus","yellowtail snapper",3,0,"demersal","schooling",86.3,"conspicuous",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"20",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Sparisoma aurofrenatum","redband parrotfish",3,0,"demersal","shoaling",28,"cryptic",1,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,2,0.0416666666666667,"2014-09-16",20,1131,0,0,-0.0289342712193564,0.0127323954473103,0.0416666666666667
"21",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Sparisoma viride","stoplight parrotfish",6,0,"demersal","shoaling",50,"none",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"22",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Haemulidae","Haemulon plumierii","white grunt",5,0,"demersal","schooling",59,"none",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,2,0.0416666666666667,"2014-09-16",20,1131,0,0,-0.0289342712193564,0.0127323954473103,0.0416666666666667
"23",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Scarus iseri","striped parrotfish",5,0,"demersal","shoaling",35,"conspicuous",0,"2014-09-16",15,78.53981634,1,0.0127323954473103,"2014-09-16",14.5,48,0,0,"2014-09-16",20,1131,0,0,0.0127323954473103,0.0127323954473103,0
"24",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Pomacentridae","Stegastes leucostictus","beaugregory",1,0,"demersal","solitary",10,"none",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,2,0.0416666666666667,"2014-09-16",20,1131,0,0,-0.0416666666666667,0,0.0416666666666667
"25",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Pomacanthidae","Holacanthus bermudensis","blue angelfish",4,0,"demersal","solitary",45,"conspicuous",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"26",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Thalassoma bifasciatum","bluehead wrasse",1,0,"demersal","shoaling",25,"conspicuous",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"27",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Haemulidae","Haemulon sciurus","bluestriped grunt",2,0,"demersal","schooling",46,"none",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,4,0.0833333333333333,"2014-09-16",20,1131,0,0,-0.0833333333333333,0,0.0833333333333333
"28",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Haemulidae","Haemulon sciurus","bluestriped grunt",5,0,"demersal","schooling",46,"none",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,2,0.0416666666666667,"2014-09-16",20,1131,0,0,-0.0416666666666667,0,0.0416666666666667
"29",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Gobiidae","Coryphopterus glaucofraenum","bridled goby",1,0,"demersal","solitary",8,"cryptic",1,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"30",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Serranidae","Hypoplectrus unicolor","butter hamlet",2,0,"demersal","solitary",13,"conspicuous",1,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,4,0.0833333333333333,"2014-09-16",20,1131,0,0,-0.0833333333333333,0,0.0833333333333333
"31",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Gobiidae","Coryphopterus dicrus","colon goby",1,0,"demersal","solitary",5,"cryptic",1,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"32",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Pomacentridae","Stegastes adustus","dusky damselfish",2,0,"demersal","solitary",15,"none",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"33",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Gobiidae","Gnatholepis thompsoni","goldspot goby",1,0,"demersal","solitary",5.6,"cryptic",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"34",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Gobiidae","Gnatholepis thompsoni","goldspot goby",2,0,"demersal","solitary",5.6,"cryptic",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,2,0.0416666666666667,"2014-09-16",20,1131,0,0,-0.0416666666666667,0,0.0416666666666667
"35",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Pomacanthidae","Pomacanthus arcuatus","gray angelfish",2,0,"demersal","solitary",60,"none",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"36",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Gobiidae","Coryphopterus personatus","masked goby",1,0,"demersal","schooling",4,"conspicuous",1,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,10,0.208333333333333,"2014-09-16",20,1131,0,0,-0.208333333333333,0,0.208333333333333
"37",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Pomacanthidae","Holacanthus ciliaris","queen angelfish",3,0,"demersal","solitary",45,"conspicuous",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"38",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Epinephelidae","Epinephelus morio","red grouper",5,0,"demersal","solitary",125,"none",1,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"39",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Chaenopsidae","Acanthemblemaria aspera","roughhead blenny",1,0,"benthic","solitary",4,"cryptic",1,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"40",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Synodontidae","Synodus intermedius","sand diver",5,0,"demersal","solitary",45,"cryptic",1,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"41",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Tetraodontiformes","Tetraodontidae","Canthigaster rostrata","sharpnose puffer",2,0,"demersal","solitary",12,"conspicuous",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,1,0.0208333333333333,"2014-09-16",20,1131,0,0,-0.0208333333333333,0,0.0208333333333333
"42",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Halichoeres bivittatus","slippery dick",3,0,"demersal","shoaling",35,"conspicuous",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,2,0.0416666666666667,"2014-09-16",20,1131,0,0,-0.0416666666666667,0,0.0416666666666667
"43",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Anguilliformes","Muraenidae","Gymnothorax moringa","spotted moray",6,0,"benthic","solitary",200,"conspicuous",1,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,2,0.0416666666666667,"2014-09-16",20,1131,4,0.00353669319186561,-0.0416666666666667,-0.00353669319186561,0.0381299734748011
"44",141,"BISC-P12a","Patch",70,5,42.1666666666667,"Perciformes","Labridae","Sparisoma viride","stoplight parrotfish",2,0,"demersal","shoaling",50,"none",0,"2014-09-16",15,78.53981634,0,0,"2014-09-16",14.5,48,3,0.0625,"2014-09-16",20,1131,0,0,-0.0625,0,0.0625
