session,site,survey,density
141,BISC-P12a,SVC,0
144,BISC-W40-b,SVC,0
144,BISC-W40-b,SVC,0
145,BISC-P11a,SVC,0
147,BISC-W12,SVC,0
147,BISC-W12,SVC,0
148,BISC-W13,SVC,0
148,BISC-W13,SVC,0
152,BISC-W60-6d,SVC,0
156,BISC-W60-4b,SVC,0
156,BISC-W60-4b,SVC,0
157,Dixie Ledge,SVC,0
157,Dixie Ledge,SVC,0
157,Dixie Ledge,SVC,0
160,KL-P8,SVC,0
160,KL-P8,SVC,0
161,KL-W7,SVC,0
163,KL-30,SVC,0
164,KL-P4,SVC,0.035367765
164,KL-P4,SVC,0
168,KL-P11,SVC,0
168,KL-P11,SVC,0
169,KL-P13,SVC,0
175,Ten 2A,SVC,0
175,Ten 2A,SVC,0
176,Ten 3A,SVC,0
179,Conch 4B,SVC,0
182,KL-P2,SVC,0
185,BISC-P12a,SVC,0
187,BISC-W13,SVC,0
187,BISC-W13,SVC,0
188,BISC-W60-4b,SVC,0
188,BISC-W60-4b,SVC,0
188,BISC-W60-4b,SVC,0
193,BISC-W12,SVC,0
196,BISC-P11a,SVC,0
197,BISC-W30a,SVC,0
197,BISC-W30a,SVC,0
201,BISC-W60-2b,SVC,0
204,Ten 2A,SVC,0
204,Ten 2A,SVC,0
204,Ten 2A,SVC,0
205,Ten 3A,SVC,0
209,Conch 6A,SVC,0
210,KL-P2,SVC,0.035367765
210,KL-P2,SVC,0.035367765
210,KL-P2,SVC,0
210,KL-P2,SVC,0
212,KL-P11,SVC,0
212,KL-P11,SVC,0
212,KL-P11,SVC,0
213,KL-P13,SVC,0
213,KL-P13,SVC,0
215,KL-W12,SVC,0
215,KL-W12,SVC,0
215,KL-W12,SVC,0
218,KL-P6,SVC,0
219,KL-P7,SVC,0
224,KL-30,SVC,0
224,KL-30,SVC,0
224,KL-30,SVC,0
225,KL-P4,SVC,0.035367765
225,KL-P4,SVC,0
225,KL-P4,SVC,0
232,BISC-W12,SVC,0
234,KL-W12,SVC,0
242,BISC-W13,SVC,0
248,KL-P4,SVC,0
249,KL-P5,SVC,0
251,KL-P7,SVC,0.007859503
141,BISC-P12a,prey,0
144,BISC-W40-b,prey,0
144,BISC-W40-b,prey,0
145,BISC-P11a,prey,0
147,BISC-W12,prey,0
147,BISC-W12,prey,0
148,BISC-W13,prey,0
148,BISC-W13,prey,0
152,BISC-W60-6d,prey,0
156,BISC-W60-4b,prey,0
156,BISC-W60-4b,prey,0
157,Dixie Ledge,prey,0.00625
157,Dixie Ledge,prey,0
157,Dixie Ledge,prey,0
160,KL-P8,prey,0
160,KL-P8,prey,0
161,KL-W7,prey,0
163,KL-30,prey,0
164,KL-P4,prey,0
164,KL-P4,prey,0
168,KL-P11,prey,0
168,KL-P11,prey,0
169,KL-P13,prey,0
175,Ten 2A,prey,0
175,Ten 2A,prey,0
176,Ten 3A,prey,0.00625
179,Conch 4B,prey,0
182,KL-P2,prey,0
185,BISC-P12a,prey,0
187,BISC-W13,prey,0
187,BISC-W13,prey,0
188,BISC-W60-4b,prey,0
188,BISC-W60-4b,prey,0
188,BISC-W60-4b,prey,0
